kind,scene,MPJPE,MOTA,MOTP,Precision,Recall,t_detection,t_matching_old,t_matching_new,t_update,t_create_new,t_prediction
Baseline,171026_pose3,4.158946436079269,0.9859789684526791,4.070777980731729,0.9921679720046659,0.9938240694374896,0.04182113268225937,0.011089816942954293,5.57403740240261e-05,0.003949285758108509,1.6431748799872225e-05,0.0005657149929454765
Baseline,160906_ian1,15.588759589875531,0.3599883687118348,6.113841619531343,0.6876513317191283,0.6606571677813318,0.04003153644410971,0.008919341514934785,5.575677294594546e-05,0.0036184852152364327,3.5599777280973895e-05,0.0003743816225420839
Baseline,170915_office1,5.195638628256736,0.9957683741648107,5.172703879150463,0.9988841776389199,0.9968819599109131,0.04100856878880101,0.010993516570545682,3.612660623750546e-05,0.0041895608244877725,1.3316897145058546e-05,0.0006303347305640475
Baseline,161029_build1,5.955587727826904,0.901885112067686,5.321268061925871,0.9561561561561561,0.9452278462223541,0.04132830624673874,0.015725210003176133,3.6285246638134445e-05,0.007131337124748063,1.5898618204478544e-05,0.000546212921319746
Baseline,160224_haggling1,6.782724166180179,0.874149847940282,5.238407771309789,0.9300832471842864,0.9452032070776887,0.04135504704395231,0.014331078184912137,8.424986155393223e-05,0.007978910148438687,3.7458916749649995e-05,0.0005294038645147035
Baseline,160906_pizza1,11.422181683601892,0.6721424468696151,7.418434774476772,0.8356007249535433,0.8368294083859851,0.041914753463623736,0.01872184867767695,4.116277298890054e-05,0.01631757119639466,2.124711775686592e-05,0.0007417618807405233
Baseline,170221_haggling_m3,5.478960578932785,0.9317349317349317,5.1500104512933405,0.9604397051079515,0.9717615717615717,0.0409458472069326,0.013904172965432875,3.9007734928208474e-05,0.007936623593241585,2.3313790949312253e-05,0.0005047910139412404
Baseline,161029_sports1,11.419912466522645,0.5276664997496244,5.416146092373422,0.7593116164720344,0.7732849273910867,0.04048515967913748,0.01017338635524114,5.5243791903679566e-05,0.004057041080874236,3.41285217863818e-05,0.0004867541287249575
+Constraints,171026_pose3,3.8187069353053995,0.9883158070438992,3.744275019247081,0.9933344442592901,0.9949924887330996,0.04126863979209716,0.01126811172604525,3.488654891351381e-05,0.005575303361334731,7.829134170718204e-05,0.0006097729839384556
+Constraints,160906_ian1,15.447206864962043,0.5411456818842687,6.044008632768496,0.7688529326784166,0.7737714451875545,0.04013416445397888,0.008985280564559312,4.787236997314418e-05,0.005280652749002911,2.97778347254886e-05,0.0004077424776235906
+Constraints,170915_office1,4.657383617335103,0.9962138084632517,4.63626212163585,0.9991073421111359,0.9971046770601336,0.04112772895422919,0.011076483850703677,3.5010683997016814e-05,0.005741592171149225,1.3746039398635426e-05,0.0006336096102087241
+Constraints,161029_build1,5.316177663897297,0.9505714709811489,5.037596849695234,0.9807807807807808,0.9695710256790856,0.041674849198957524,0.01554369200012568,3.698761090142165e-05,0.009374487970210815,1.86952782864547e-05,0.0005915160466958146
+Constraints,160224_haggling1,5.943285030923654,0.8973182195189383,4.906557809860041,0.942131647776809,0.9560409178877523,0.04106499905502423,0.014204027746066761,8.072492415861537e-05,0.010832161327726984,4.227133148427432e-05,0.000574008217570372
+Constraints,160906_pizza1,9.169966219800667,0.8172085008615738,7.011364038258957,0.907798491206347,0.9095921883974727,0.04110445863709707,0.017132446495905364,4.085274290215845e-05,0.021870703370244396,2.0661359881826987e-05,0.0007865857946414811
+Constraints,170221_haggling_m3,4.800727925070791,0.9577089577089577,4.672006561790194,0.9732754081095313,0.9847485847485847,0.04132490264970469,0.013456058640977762,4.103665376225343e-05,0.010789760756727237,2.5549829830057346e-05,0.0005322085018986119
+Constraints,161029_sports1,8.961978921862121,0.5905107661492238,5.060875451404652,0.7917903066271019,0.8017025538307461,0.04073706617153948,0.010045263063410918,5.404184155243759e-05,0.005622060945284708,3.584743075383206e-05,0.0004859031848958693
+Learned Kalman,171026_pose3,3.7242479819875034,0.9893173092972792,3.6608905450005085,0.9938343609398433,0.9954932398597897,0.04126862152651078,0.011229948345513548,3.3884610210617004e-05,0.004827827197033912,1.1910348996305121e-05,0.0005672560764181141
+Learned Kalman,160906_ian1,9.73959886380918,0.5763303285838907,4.859262505770979,0.7831428571428571,0.797034021517883,0.040288213466400824,0.009087591143722724,4.4481519551482054e-05,0.0046691059400618545,2.6107900155087312e-05,0.0003942032846971415
+Learned Kalman,170915_office1,4.658492209252286,0.9957683741648107,4.634575044607907,0.9988841776389199,0.9968819599109131,0.041326843250025475,0.01108983429780023,3.54525106247618e-05,0.005029837791930832,1.3800563827519202e-05,0.0006419292780725906
+Learned Kalman,161029_build1,4.788564346320452,0.9571025679085646,4.567414119764112,0.9840840840840841,0.9728365741427936,0.04178035485070553,0.015516360216776754,3.6570544939739957e-05,0.008527626711343887,1.662917320784398e-05,0.0005828360013638725
+Learned Kalman,160224_haggling1,4.854299788691283,0.9372408072988665,4.070388227112813,0.9618570183086312,0.9760575062206248,0.04120787478486309,0.014220244662669333,7.826756668897967e-05,0.009546011130255647,3.899090307531878e-05,0.0005371000437842061
+Learned Kalman,160906_pizza1,6.2314024157513055,0.9288454910970707,5.743671146419523,0.9536187678022742,0.9768868466398621,0.04284803155445261,0.018691581960422143,3.8450004377712805e-05,0.019785467991465702,1.743256160989404e-05,0.0007539902544619205
