model,scene,n_cams,MPJPE,MOTA,MOTP,Precision,Recall,t_detection,t_matching_old,t_matching_new,t_update,t_create_new,t_prediction
yolo26n-pose,170221_haggling_m3,4,5.478960578932785,0.9317349317349317,5.1500104512933405,0.9604397051079515,0.9717615717615717,0.0409458472069326,0.013904172965432875,3.9007734928208474e-05,0.007936623593241585,2.3313790949312253e-05,0.0005047910139412404
yolo26n-pose,170221_haggling_m3,8,2.9963698604133526,0.9623709623709624,2.8702518470314606,0.9657083924197499,0.9978021978021978,0.08558673364291182,0.023162680513937422,5.7454598306391677e-05,0.01191058378985886,2.912354326914423e-05,0.0007090094957832033
yolo26n-pose,170221_haggling_m3,12,2.7867071078602357,0.9627705627705627,2.710871760339203,0.9657216494845361,0.9982017982017982,0.13875559373999624,0.02911635403366437,7.860570058871348e-05,0.014164924343309114,3.237740037282213e-05,0.0007580192625710669
yolo26n-pose,170221_haggling_m3,16,2.507830760476774,0.9603729603729604,2.463102814973258,0.9634867575212137,0.9982017982017982,0.19249275275086983,0.03594525571462985,0.0001303981027046505,0.022023037836501877,4.2434916786777856e-05,0.000790766857980858
yolo26n-pose,161029_sports1,4,11.419912466522645,0.5276664997496244,5.416146092373422,0.7593116164720344,0.7732849273910867,0.04048515967913748,0.01017338635524114,5.5243791903679566e-05,0.004057041080874236,3.41285217863818e-05,0.0004867541287249575
yolo26n-pose,161029_sports1,8,3.726938135906844,0.8168502754131197,3.621570837720306,0.850032181935207,0.9919879819729595,0.08447914091779773,0.01756580080589047,7.696758918852235e-05,0.005714696495964502,4.573359893790136e-05,0.0006495710085961037
yolo26n-pose,161029_sports1,12,3.3629343144070156,0.814221331997997,3.2741338647861653,0.8472133247918001,0.993365047571357,0.1388212540423381,0.022233074058336206,9.934337615656357e-05,0.006502686693631889,5.158510877517983e-05,0.0006905960748981064
yolo26n-pose,161029_sports1,16,3.0886984897101852,0.8027040560841262,2.977191403038767,0.83897229858321,0.993365047571357,0.18854075125557915,0.028533700315111005,0.00014197847238586595,0.00857736447310696,6.155229712603613e-05,0.0007043366087406564
yolo26s-pose,171026_pose3,4,3.299935934341546,0.9943248205641796,3.2710216193920094,0.9963339443426096,0.9979969954932398,0.1130310130175203,0.011193901450122492,3.585266662188447e-05,0.004232540174293368,1.2226376351183997e-05,0.0007167194951325655
yolo26s-pose,160906_ian1,4,16.12494680704638,0.35097412038383247,5.781421814342332,0.6705218617771509,0.691189299214888,0.11339029162193764,0.009756541294346485,5.477390086161904e-05,0.004629990320303477,3.501988154797194e-05,0.0004837176141736563
yolo26s-pose,170915_office1,4,5.042901708971442,0.9953229398663697,5.01739472798816,0.9986610131667039,0.9966592427616926,0.11399216938603463,0.011212162681357262,3.608789141677941e-05,0.004315455078677688,1.3225689814943407e-05,0.0007282140644642317
yolo26s-pose,161029_build1,4,5.666085047542952,0.9210331007867003,5.195967613691859,0.9653517324133793,0.955321359655633,0.11454402488002521,0.016736235471770944,4.138583182032372e-05,0.00879583099202475,2.1068198187750505e-05,0.0007228377534396037
yolo26s-pose,160224_haggling1,4,6.72567403583475,0.8789604644733204,5.016517703849321,0.9278178490687911,0.9531103124136024,0.11394005768573844,0.015393824304818797,8.544166591018439e-05,0.00998335334707129,3.8049992690018065e-05,0.0006672637707359778
yolo26s-pose,160906_pizza1,4,12.422236973933071,0.7070419299253303,7.035156933244531,0.8518899636413528,0.8559218839747271,0.115176638443834,0.020343267509442133,4.5520234003197405e-05,0.01941379688345284,2.1296481920095783e-05,0.0008382090025154563
yolo26s-pose,170221_haggling_m3,4,5.376147689461062,0.9275391275391276,4.790177641014865,0.9539735315209597,0.9745587745587746,0.11322886654655359,0.014938499783017995,4.305139878460278e-05,0.010016870368227291,2.437668494307078e-05,0.0006158530270555415
