step,tr_loss,val_loss
0,23.967074213417934,17.456232109848333
1,21.461238066946265,17.40213156719597
2,20.923261670818118,16.422925014885106
3,20.44303590568911,16.30137573942846
4,19.903285650515645,16.485544749668666
5,19.79274931982104,15.894319981944804
6,19.742944674864134,16.400858411983567
7,19.450989237505265,15.721544693927376
8,19.274216318662283,15.852562164773746
9,19.13663292640204,15.704991846668477
10,19.092665027065348,15.629227735558334
11,18.866905084773066,15.39481612614223
12,18.638716020548653,15.436829391790896
13,18.82430918952346,16.3766772017187
14,18.55097695885981,15.38124247959682
15,18.296028456280222,15.488608885784538
16,18.324260381960958,15.229045206186722
17,18.269056345007233,15.335455719305545
18,18.17761948028905,15.244217074647242
19,18.019913684036652,15.14899035862514
20,18.14409410909206,15.422602770279864
21,18.065781593322754,15.268403403613032
22,17.96331949127651,15.16096881944306
23,17.778633539561444,15.199335993552694
24,17.979564383127432,15.071283904873596
25,17.685541266402346,15.18945057538091
26,17.83539133532783,15.119928904942103
27,17.652527330533278,15.002938893376564
28,17.698110286187948,14.897964808405662
29,17.4848320829824,14.932721721882723
30,17.491327268040312,15.310273715427943
31,17.60578489480852,15.132032764201261
32,17.371454526057473,14.977588381086077
33,17.439436660823326,14.844848224094935
34,17.35075625522429,14.98118443391761
35,17.498769185800093,14.922128657905423
36,17.29603630548073,15.350060365637955
37,17.237890803680987,14.807270166825274
38,17.267332906616666,14.832696175088687
39,17.238722889839938,15.278003439611318
40,17.09536939571338,14.798051834106445
41,16.954600936861286,15.156273978097099
42,17.040494411851395,14.955140600399096
43,16.844587889745775,14.965984811588209
44,17.01955582572625,14.765389637071259
45,16.98622662072731,14.716709857084313
46,16.76107198509585,14.926434847773338
47,16.801610730394554,14.709553193072884
48,16.940446534564504,15.08277060061085
49,16.761716959644872,14.620651381356376
50,16.755210557391653,14.992408888680595
51,16.769509652290203,14.756814139229911
52,16.810632712778993,14.903414006135902
53,16.669641650742314,14.602671156124194
54,16.54355322827194,14.68575399749133
55,16.749585151672363,15.581191958213338
56,16.514343935317708,14.724756980428891
57,17.593815080295265,14.715123449053083
58,17.173297123394935,14.907626366128726
59,17.46182294228706,14.860185389616051
60,17.413814441865263,14.967879353737345
61,17.193207400438954,14.556571143014091
62,17.324768498927686,14.870951963930715
63,17.3233594575336,14.912951255331235
64,17.323175380664242,15.2267292178407
65,17.210071315552664,14.8217364330681
66,17.214620526395322,14.902067515314842
67,17.12067771401104,14.766573886482083
68,16.764999577547094,14.636909329161352
69,16.897691747956117,14.38741720939169
70,16.806649888758322,14.488646371023995
71,16.787377715553937,14.562300039797414
72,16.76651805041005,14.506459450235171
73,16.805336565776386,14.436125113039601
74,16.733514948848455,14.437391865010165
75,16.60602396926029,14.525663687258351
76,16.502830441556455,14.489737043575365
77,16.383831609137438,14.31911561927017
78,16.363105862557223,14.284913744245257
79,16.323413738973965,14.482632598098444
80,16.320506975110135,14.48534802028111
81,16.335009259362202,14.394629731470225
82,16.153365769793997,14.354088744338679
83,16.2488809925916,14.411120220106476
84,16.105971524263403,14.335847056641871
85,16.220496110313444,14.35995171994579
86,16.246346367336116,14.48295124209657
87,16.141011078561547,14.348596066844706
88,16.21259444353749,14.40956551688058
89,16.13179946388897,14.417536988550303
90,16.16769910124598,14.361975124904088
91,16.11524876165567,14.29025260769591
92,16.071875799101083,14.350576069890236
93,16.0724993354769,14.330880398652992
94,16.17111749897216,14.326322477691027
95,20.203576995537627,14.294011816686513
96,16.11057101749576,14.286251788236656
97,103.46853789432342,14.268434310445981
98,16.009747019487687,14.30006541038046
99,16.00826446008505,14.290915625435966
100,15.784231671613389,14.338031243304817
101,15.799007671030038,14.258657825236417
102,15.792909232214038,14.26760231718725
103,15.63716444206947,14.237433550309161
104,15.792179720995595,14.352590152195521
105,15.753868861712487,14.295073976322096
106,15.792865029941261,14.292530487994759
107,15.660177096115168,14.32567970120177
108,15.632656852551996,14.278157467744789
109,15.598356690105453,14.311809111614616
110,15.752588651437298,14.259731370575574
111,15.889570991345941,14.288520676749092
112,15.832864250835433,14.289617869318748
113,15.855551716120269,14.30847084278963
114,15.876567404509476,14.298862340498944
115,15.895385075679055,14.284319955475477
116,15.814893013482644,14.2855542435938
117,15.735400107713437,14.340535144416654
118,15.911227960125665,14.311835327926946
119,15.82922270040973,14.327487458988111
120,15.8270262750108,14.291223973644023
121,15.784397557765578,14.290946240327797
122,15.815415697913188,14.300369106993383
123,15.82254185020702,14.283392049828354
124,15.652259833750671,14.282817743262466
125,15.766964047371676,14.254740753952337
126,15.635889726943686,14.25733908828424
127,15.896433149571756,14.277195852629992
128,15.935516141161157,14.294989955668546
129,15.847158368192197,14.295091590102839
130,15.92141656981968,14.290700542683505
131,15.857402354811203,14.293886885351064
132,15.8853356634374,14.292390278407506
133,15.929656358456523,14.31465059397172
134,15.905739770059691,14.310992085203832
135,15.914569564025198,14.294324232607472
136,15.957394419106409,14.32242117122728
137,15.893144206929827,14.290352879738322
138,15.960990515783374,14.30414429489447
139,19.163770704021243,14.293102342255262
140,15.917810085537708,14.326328374901596
141,15.915380180103629,14.283324611430265
142,15.955639240023816,14.283950669424874
143,15.907440302540378,14.315451427381866
144,15.92744472390214,14.267794278203224
145,15.883031962086276,14.287327085222516
146,15.984256389858997,14.268090014555016
147,15.976974217865104,14.280084259656011
148,16.082703533668944,14.2538024357387
149,15.955178707505691,14.275095647695114
